比较,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费,可购全部
,43,010118,天弘多元收益,07-01,1.2528,1.2528,0.23%,1.94%,4.43%,3.24%,5.88%,17.91%,10.32%,3.55%,5.88%,25.28%,17.91%,0.08%,
,44,240018,华宝可转债债,07-01,1.7064,1.7064,0.41%,2.11%,4.11%,1.95%,12.34%,17.90%,7.17%,1.86%,12.34%,70.64%,17.90%,0.08%,
,45,003382,民生加银鑫享,07-01,1.0755,1.0835,0.46%,2.86%,3.79%,3.98%,10.47%,17.75%,18.29%,19.78%,10.47%,8.41%,17.75%,0.08%,
,46,690202,民生增强收益,07-01,1.5576,2.2276,0.44%,3.95%,5.57%,3.43%,7.49%,17.73%,4.75%,0.23%,7.49%,147.46%,17.73%,0.00%,
,47,008817,华宝可转债债,07-01,1.6833,1.6833,0.41%,2.10%,4.09%,1.88%,12.20%,17.61%,6.63%,1.10%,12.20%,44.53%,17.61%,0.00%,
,48,010119,天弘多元收益,07-01,1.2354,1.2354,0.24%,1.94%,4.39%,3.16%,5.73%,17.56%,9.67%,2.62%,5.73%,23.54%,17.56%,0.00%,
,49,003383,民生加银鑫享,07-01,1.0457,1.0537,0.46%,2.86%,3.76%,3.88%,10.25%,17.28%,17.36%,18.36%,10.25%,5.40%,17.28%,0.00%,
,50,007955,民生加银鑫享,07-01,0.9137,0.9137,0.45%,2.85%,3.76%,3.88%,10.24%,17.28%,17.35%,18.35%,10.24%,-8.61%,17.28%,0.00%,
,51,009465,东方可转债债,07-01,1.0573,1.1023,0.33%,2.77%,4.98%,2.87%,11.53%,17.22%,-1.76%,-4.68%,11.53%,10.32%,17.22%,0.08%,
,52,161010,富国天丰强化,07-01,1.2268,2.1343,0.21%,1.19%,1.53%,3.24%,6.60%,17.11%,12.62%,13.57%,6.60%,177.30%,17.11%,0.08%,
,53,163811,中银双利债券,07-01,1.4900,1.9650,0.30%,0.98%,2.17%,3.81%,7.91%,17.06%,17.59%,14.63%,7.91%,113.20%,17.06%,0.08%,
,54,163816,中银转债增强,07-01,3.0748,3.0748,0.45%,2.06%,3.94%,2.76%,7.99%,16.88%,13.05%,6.89%,7.99%,207.48%,16.88%,0.08%,
,55,009466,东方可转债债,07-01,1.0440,1.0840,0.33%,2.77%,4.95%,2.77%,11.30%,16.75%,-2.54%,-5.82%,11.30%,8.43%,16.75%,0.00%,
,56,163812,中银双利债券,07-01,1.4613,1.8873,0.30%,0.97%,2.14%,3.72%,7.73%,16.65%,16.78%,13.44%,7.73%,102.39%,16.65%,0.00%,
,57,007316,交银可转债债,07-01,1.5139,1.5139,0.52%,2.83%,5.27%,4.01%,10.21%,16.59%,7.61%,2.33%,10.21%,51.39%,16.59%,0.08%,
,58,001045,华夏可转债增,07-01,1.3821,1.3821,0.35%,2.90%,4.18%,1.83%,4.83%,16.57%,-2.05%,-11.57%,4.83%,38.21%,16.57%,0.08%,
,59,163817,中银转债增强,07-01,2.9205,2.9205,0.45%,2.05%,3.91%,2.67%,7.80%,16.48%,12.27%,5.77%,7.80%,192.05%,16.48%,0.00%,
,60,050019,博时转债增强,07-01,1.9410,1.9460,0.33%,3.18%,4.35%,3.54%,12.73%,16.16%,5.72%,-9.93%,12.73%,94.70%,16.16%,0.08%,
,61,007317,交银可转债债,07-01,1.4782,1.4782,0.52%,2.82%,5.23%,3.91%,9.99%,16.12%,6.75%,1.11%,9.99%,47.82%,16.12%,0.00%,
,62,012887,华夏可转债增,07-01,1.3682,1.3682,0.34%,2.89%,4.14%,1.73%,4.62%,16.12%,-2.83%,-12.63%,4.62%,-15.91%,16.12%,0.00%,
,63,050119,博时转债增强,07-01,1.8572,1.8612,0.33%,3.17%,4.31%,3.44%,12.51%,15.71%,4.93%,-11.01%,12.51%,86.18%,15.71%,0.00%,
,64,261001,景顺长城稳定,07-01,1.1850,1.5410,0.08%,0.59%,2.07%,3.49%,6.95%,15.50%,11.90%,13.39%,6.95%,64.72%,15.50%,0.08%,
,65,000047,华夏双债债券,07-01,1.9057,2.2078,0.33%,1.52%,2.65%,3.34%,6.55%,15.26%,17.56%,16.63%,6.55%,141.11%,15.26%,0.08%,
,66,004564,北信瑞丰鼎利,07-01,1.2248,1.3328,0.53%,1.11%,2.55%,3.62%,7.46%,15.12%,20.78%,18.95%,7.46%,35.49%,15.12%,0.08%,
,67,261101,景顺长城稳定,07-01,1.1730,1.4750,0.17%,0.69%,2.09%,3.44%,6.83%,15.11%,11.29%,12.15%,6.83%,55.57%,15.11%,0.00%,
,68,050023,博时天颐债券,07-01,1.6189,1.8719,0.09%,1.58%,3.10%,4.20%,9.65%,15.02%,6.79%,8.19%,9.65%,97.69%,15.02%,0.08%,
,69,040022,华安可转债债,07-01,2.0380,2.0380,0.39%,1.29%,2.77%,3.35%,6.98%,14.95%,12.47%,10.94%,6.98%,103.80%,14.95%,0.08%,
,70,000048,华夏双债债券,07-01,1.8514,2.1431,0.33%,1.51%,2.62%,3.26%,6.38%,14.91%,16.88%,15.57%,6.38%,132.92%,14.91%,0.00%,
,71,000143,鹏华双债加利,07-01,1.8607,2.0527,0.52%,1.87%,3.56%,3.12%,6.07%,14.88%,14.77%,11.73%,6.07%,112.68%,14.88%,0.08%,
,72,013149,鹏华双债加利,07-01,1.1119,1.1119,0.52%,1.87%,3.56%,3.12%,6.06%,14.87%,14.61%,11.33%,6.06%,11.19%,14.87%,0.00%,
,73,004318,国寿安保尊裕,07-01,1.1830,1.2940,0.08%,1.11%,2.69%,3.41%,5.16%,14.85%,12.13%,12.56%,5.16%,31.37%,14.85%,0.08%,
,74,014775,招商安本增利,07-01,1.7120,1.8988,0.42%,2.65%,3.85%,4.78%,6.44%,14.77%,14.81%,16.42%,6.44%,15.30%,14.77%,0.05%,
,75,720003,财通收益增强,07-01,1.5220,1.8710,0.40%,4.11%,5.94%,3.57%,7.04%,14.76%,13.16%,10.43%,7.04%,100.76%,14.76%,0.08%,
,76,040023,华安可转债债,07-01,1.9340,1.9340,0.36%,1.26%,2.71%,3.26%,6.79%,14.57%,11.66%,9.82%,6.79%,93.40%,14.57%,0.00%,
,77,050123,博时天颐债券,07-01,1.5318,1.7748,0.08%,1.57%,3.06%,4.10%,9.44%,14.56%,5.93%,6.90%,9.44%,85.70%,14.56%,0.00%,
,78,005193,北信瑞丰鼎利,07-01,1.2095,1.3045,0.52%,1.09%,2.52%,3.56%,7.31%,14.55%,20.16%,17.78%,7.31%,32.28%,14.55%,0.00%,
,79,217008,招商安本增利,07-01,1.6943,2.5006,0.42%,2.65%,3.82%,4.71%,6.28%,14.43%,14.13%,15.38%,6.28%,218.63%,14.43%,0.00%,
,80,005771,银华可转债债,07-01,1.4271,1.4271,0.27%,2.24%,4.33%,4.25%,10.92%,14.41%,-3.78%,-14.31%,10.92%,42.70%,14.41%,0.08%,
,81,004319,国寿安保尊裕,07-01,1.1610,1.2560,0.09%,1.13%,2.65%,3.29%,4.97%,14.38%,11.21%,11.21%,4.97%,27.05%,14.38%,0.00%,
,82,519162,新华增怡债券,07-01,1.5759,1.8029,0.03%,0.64%,2.05%,1.01%,3.90%,14.34%,11.15%,10.67%,3.90%,90.08%,14.34%,0.08%,
,83,005717,兴业机遇债券,07-01,1.5767,1.6467,0.37%,1.04%,3.10%,3.40%,6.30%,14.33%,13.11%,12.71%,6.30%,68.07%,14.33%,--,
,84,003204,财通收益增强,07-01,1.4437,1.7207,0.40%,4.10%,5.91%,3.46%,6.83%,14.30%,12.25%,9.12%,6.83%,81.55%,14.30%,0.00%,
,85,005121,富国兴利增强,07-01,1.5862,1.5862,0.18%,1.23%,2.22%,0.96%,2.87%,14.23%,9.80%,5.40%,2.87%,58.62%,14.23%,0.08%,
,86,002586,金鹰添利信用,07-01,1.1643,1.4503,0.56%,2.27%,4.08%,4.04%,8.13%,14.21%,8.07%,11.05%,8.13%,47.59%,14.21%,0.08%,
,87,005246,国泰可转债债,07-01,1.4901,1.4901,0.47%,2.00%,4.90%,2.14%,7.64%,14.11%,7.37%,-3.72%,7.64%,49.01%,14.11%,0.08%,
,88,007540,华泰保兴安悦,07-01,1.1770,1.3431,0.22%,0.02%,1.13%,3.16%,2.56%,14.11%,23.65%,26.48%,2.56%,37.62%,14.11%,0.08%,
,89,002587,金鹰添利信用,07-01,1.1541,1.4331,0.56%,2.27%,4.07%,3.99%,8.03%,14.00%,7.64%,10.50%,8.03%,45.64%,14.00%,0.00%,
,90,000014,华夏聚利债券,07-01,1.8754,1.8754,0.40%,1.97%,2.95%,2.39%,6.15%,13.96%,4.07%,3.44%,6.15%,87.54%,13.96%,0.06%,
,91,020741,华泰保兴安悦,07-01,1.1750,1.2559,0.22%,0.02%,1.13%,3.14%,2.51%,13.94%,---,---,2.51%,17.86%,13.94%,0.00%,
,92,008222,兴业机遇债券,07-01,1.5897,1.6297,0.37%,1.04%,3.07%,3.29%,6.09%,13.88%,12.20%,11.37%,6.09%,58.17%,13.88%,0.00%,
,93,013720,新华增怡债券,07-01,1.1119,1.1119,0.04%,0.63%,2.01%,0.91%,3.69%,13.88%,10.26%,9.33%,3.69%,11.19%,13.88%,0.00%,
,94,003510,长盛可转债债,07-01,1.0594,1.4861,0.55%,2.20%,3.83%,3.62%,8.48%,13.82%,3.88%,-12.12%,8.48%,48.14%,13.82%,0.08%,
,95,675011,西部利得稳健,07-01,1.6650,1.8200,0.36%,2.08%,4.00%,4.98%,7.77%,13.65%,7.01%,1.15%,7.77%,92.43%,13.65%,0.08%,
,96,017771,华夏聚利债券,07-01,1.8451,1.8451,0.40%,1.97%,2.93%,2.32%,6.00%,13.64%,3.42%,---,6.00%,3.02%,13.64%,0.00%,
,97,003511,长盛可转债债,07-01,1.0522,1.4867,0.54%,2.20%,3.81%,3.54%,8.32%,13.48%,3.27%,-12.91%,8.32%,48.01%,13.48%,0.00%,
,98,675013,西部利得稳健,07-01,1.6170,1.7420,0.37%,2.08%,3.99%,4.86%,7.51%,13.31%,6.24%,0.06%,7.51%,81.99%,13.31%,0.00%,
,99,006828,银河久泰债券,07-01,1.1499,1.3779,0.03%,0.00%,0.41%,0.97%,0.66%,13.29%,16.39%,20.19%,0.66%,41.68%,13.29%,0.08%,
,100,530020,建信转债增强,07-01,3.1830,3.1830,0.54%,1.82%,3.34%,2.71%,6.21%,13.15%,5.01%,-6.88%,6.21%,218.30%,13.15%,0.08%,
,101,005908,华泰保兴尊利,07-01,1.3091,1.5336,0.68%,0.61%,2.53%,6.30%,6.85%,13.13%,21.76%,22.76%,6.85%,56.63%,13.13%,0.08%,
,102,202105,南方广利回报,07-01,1.6376,1.9696,0.52%,3.40%,4.73%,3.33%,10.09%,13.02%,4.44%,0.65%,10.09%,106.86%,13.02%,0.08%,
,103,000297,鹏华可转债债,07-01,1.4903,1.5473,0.86%,4.36%,6.37%,2.64%,9.89%,13.02%,5.77%,-7.20%,9.89%,55.65%,13.02%,0.08%,
,104,014088,永赢稳健增强,07-01,1.0855,1.0855,0.19%,1.46%,4.00%,3.69%,6.24%,12.85%,9.28%,7.43%,6.24%,8.55%,12.85%,0.08%,
,105,010964,鹏华可转债债,07-01,1.1261,1.1261,0.86%,4.37%,6.36%,2.60%,9.78%,12.79%,5.34%,-7.77%,9.78%,-14.10%,12.79%,0.00%,
,106,531020,建信转债增强,07-01,3.0370,3.0370,0.56%,1.84%,3.33%,2.64%,6.08%,12.77%,4.33%,-7.80%,6.08%,203.70%,12.77%,0.00%,
,107,005909,华泰保兴尊利,07-01,1.2836,1.4930,0.67%,0.60%,2.49%,6.20%,6.64%,12.70%,20.81%,21.33%,6.64%,52.30%,12.70%,0.00%,
,108,202107,南方广利回报,07-01,1.6734,1.8904,0.52%,3.39%,4.70%,3.23%,9.88%,12.57%,3.62%,-0.51%,9.88%,97.09%,12.57%,0.00%,
,109,005579,光大晟利债券,07-01,1.2951,1.2951,0.26%,1.32%,3.26%,2.52%,5.74%,12.56%,8.04%,5.11%,5.74%,29.51%,12.56%,0.08%,
,110,360008,光大增利收益,07-01,1.4000,1.9220,0.00%,0.65%,1.45%,0.94%,2.56%,12.54%,12.27%,14.38%,2.56%,121.15%,12.54%,0.10%,
,111,210014,金鹰元丰债券,07-01,1.5275,1.8698,-0.33%,3.69%,7.16%,1.39%,9.24%,12.43%,-6.79%,-16.03%,9.24%,86.98%,12.43%,0.06%,
,112,014089,永赢稳健增强,07-01,1.0705,1.0705,0.20%,1.46%,3.97%,3.59%,6.04%,12.41%,8.42%,6.17%,6.04%,7.05%,12.41%,0.00%,
,113,090017,大成可转债增,07-01,1.6409,1.6509,0.39%,2.74%,5.13%,2.35%,7.61%,12.35%,4.12%,-3.42%,7.61%,65.62%,12.35%,0.08%,
,114,000973,新华增盈回报,07-01,1.2438,1.6690,-0.01%,0.44%,1.32%,1.20%,2.43%,12.35%,13.36%,13.52%,2.43%,77.35%,12.35%,0.08%,
,115,019095,东方双债添利,07-01,1.2768,1.2768,0.37%,1.68%,3.80%,4.64%,9.54%,12.32%,---,---,9.54%,7.74%,12.32%,0.09%,
,116,400027,东方双债添利,07-01,1.2766,1.8115,0.37%,1.68%,3.80%,4.64%,9.53%,12.31%,4.30%,1.83%,9.53%,92.31%,12.31%,0.08%,
,117,360009,光大增利收益,07-01,1.3740,1.8400,0.07%,0.73%,1.48%,0.88%,2.38%,12.25%,11.44%,13.09%,2.38%,106.99%,12.25%,0.00%,
,118,019152,大成可转债增,07-01,1.6367,1.6367,0.39%,2.74%,5.13%,2.33%,7.56%,12.24%,---,---,7.56%,7.68%,12.24%,0.00%,
,119,020499,金元顺安丰利,07-01,1.1283,1.1283,0.07%,0.28%,0.76%,1.79%,2.08%,12.20%,---,---,2.08%,11.16%,12.20%,0.00%,
,120,011416,恒越嘉鑫债券,07-01,1.1569,1.1569,-0.05%,0.76%,1.79%,1.83%,3.42%,12.18%,13.10%,13.39%,3.42%,15.69%,12.18%,0.04%,
,121,015908,方正富邦鸿远,07-01,1.1796,1.1796,0.28%,0.00%,0.98%,3.40%,2.02%,12.18%,16.62%,---,2.02%,17.96%,12.18%,0.08%,
,122,010309,德邦锐裕利率,07-01,1.1978,1.2478,0.25%,-0.08%,1.05%,2.90%,1.85%,12.12%,15.11%,20.36%,1.85%,25.18%,12.12%,0.08%,
,123,005580,光大晟利债券,07-01,1.2556,1.2556,0.26%,1.31%,3.22%,2.41%,5.54%,12.12%,7.19%,3.87%,5.54%,25.56%,12.12%,0.00%,
,124,015529,华泰柏瑞锦瑞,07-01,1.1671,1.1671,0.67%,1.45%,3.70%,3.55%,5.40%,12.11%,7.42%,---,5.40%,8.70%,12.11%,0.08%,
,125,008524,华泰柏瑞锦瑞,07-01,1.1670,1.1670,0.67%,1.45%,3.70%,3.55%,5.39%,12.10%,7.41%,4.42%,5.39%,16.70%,12.10%,0.08%,
,126,014336,金鹰元丰债券,07-01,1.4993,1.4993,-0.33%,3.68%,7.13%,1.30%,9.03%,11.97%,-7.55%,-17.04%,9.03%,-27.40%,11.97%,0.00%,
,127,002474,中邮睿信增强,07-01,1.2920,1.5540,0.47%,1.57%,3.19%,3.44%,5.47%,11.96%,15.98%,18.28%,5.47%,60.20%,11.96%,0.08%,
,128,011417,恒越嘉鑫债券,07-01,1.1469,1.1469,-0.05%,0.76%,1.77%,1.77%,3.32%,11.95%,12.64%,12.71%,3.32%,14.69%,11.95%,0.00%,
,129,000377,摩根双债增利,07-01,1.1453,1.6103,0.25%,0.80%,1.94%,3.49%,4.67%,11.94%,8.09%,6.60%,4.67%,74.25%,11.94%,0.08%,
,130,006898,天弘弘丰增强,07-01,1.2404,1.2404,0.27%,1.65%,3.49%,4.23%,4.39%,11.94%,6.64%,-3.75%,4.39%,24.04%,11.94%,0.08%,
,131,200013,长城积极增利,07-01,1.2394,1.7018,0.31%,1.95%,4.39%,3.41%,7.57%,11.90%,9.04%,0.87%,7.57%,80.75%,11.90%,0.08%,
,132,400029,东方双债添利,07-01,1.2602,1.7544,0.37%,1.67%,3.77%,4.55%,9.33%,11.87%,3.47%,0.56%,9.33%,84.45%,11.87%,0.00%,
,133,020019,国泰双利债券,07-01,1.7718,2.1918,0.35%,0.62%,1.01%,2.48%,8.04%,11.86%,15.13%,16.38%,8.04%,148.97%,11.86%,0.10%,
,134,350006,天治稳健双盈,07-01,1.1418,2.1674,0.04%,-0.26%,0.73%,1.22%,2.29%,11.78%,7.69%,13.19%,2.29%,138.63%,11.78%,0.00%,
,135,015909,方正富邦鸿远,07-01,1.1505,1.1505,0.28%,0.00%,0.96%,3.36%,1.92%,11.77%,14.18%,---,1.92%,15.05%,11.78%,0.00%,
,136,020787,国寿安保泰裕,07-01,1.1577,1.1577,0.03%,0.33%,0.91%,3.21%,3.81%,11.76%,---,---,3.81%,15.77%,11.76%,0.08%,
,137,006254,长城久悦债券,07-01,1.0980,1.0980,0.47%,1.90%,3.43%,3.73%,8.05%,11.74%,-0.15%,-6.65%,8.05%,9.80%,11.74%,0.08%,
,138,010310,德邦锐裕利率,07-01,1.2031,1.2481,0.25%,-0.10%,1.02%,2.83%,1.72%,11.70%,14.40%,19.29%,1.72%,25.13%,11.70%,0.00%,
,139,008525,华泰柏瑞锦瑞,07-01,1.1418,1.1418,0.66%,1.44%,3.66%,3.44%,5.19%,11.66%,6.55%,3.18%,5.19%,14.18%,11.66%,0.00%,
,140,020521,华商安恒债券,07-01,1.1173,1.1173,0.08%,0.60%,2.48%,3.21%,4.42%,11.65%,---,---,4.42%,11.73%,---,0.08%,
,141,006030,南方昌元转债,07-01,1.5087,1.5287,0.75%,5.04%,7.10%,4.34%,12.86%,11.62%,0.25%,-7.15%,12.86%,53.10%,11.62%,0.08%,
,142,016331,鹏华创兴增利,07-01,1.0875,1.0875,0.02%,0.02%,6.33%,6.26%,8.37%,11.62%,7.91%,---,8.37%,8.75%,11.62%,0.12%,
,143,002381,东海祥瑞A,07-01,1.2023,1.3143,0.05%,0.02%,0.64%,10.34%,10.55%,11.58%,16.61%,21.33%,10.55%,32.80%,11.58%,0.04%,
,144,006899,天弘弘丰增强,07-01,1.2098,1.2098,0.27%,1.64%,3.45%,4.12%,4.19%,11.50%,5.79%,-4.89%,4.19%,20.98%,11.50%,0.00%,
,145,000378,摩根双债增利,07-01,1.1302,1.5622,0.24%,0.78%,1.89%,3.38%,4.46%,11.48%,7.21%,5.31%,4.46%,66.86%,11.48%,0.00%,
,146,200113,长城积极增利,07-01,1.4494,1.6398,0.31%,1.95%,4.36%,3.31%,7.36%,11.46%,8.18%,-0.32%,7.36%,70.43%,11.46%,0.00%,
,147,020327,华泰保兴尊益,07-01,1.1329,1.1329,0.29%,0.09%,1.33%,3.57%,2.64%,11.46%,---,---,2.64%,13.29%,11.46%,0.05%,
,148,005945,工银可转债优,07-01,1.2317,1.2317,1.17%,2.75%,3.22%,5.26%,7.16%,11.44%,0.59%,-17.20%,7.16%,23.16%,11.44%,0.08%,
,149,020020,国泰双利债券,07-01,1.6881,2.0771,0.35%,0.63%,0.96%,2.37%,7.80%,11.43%,14.14%,14.99%,7.80%,132.86%,11.43%,0.00%,
,150,020788,国寿安保泰裕,07-01,1.1525,1.1525,0.03%,0.32%,0.88%,3.11%,3.61%,11.40%,---,---,3.61%,15.25%,11.40%,0.00%,
,151,020522,华商安恒债券,07-01,1.1138,1.1138,0.08%,0.60%,2.45%,3.14%,4.26%,11.34%,---,---,4.26%,11.38%,---,0.00%,
,152,007609,汇安嘉诚债券,07-01,1.1467,1.1992,0.38%,1.52%,3.21%,3.73%,7.68%,11.30%,10.03%,7.35%,7.68%,20.61%,11.30%,0.06%,
,153,015723,长城久悦债券,07-01,1.0859,1.0859,0.46%,1.89%,3.39%,3.63%,7.82%,11.29%,-0.94%,-7.75%,7.82%,-1.02%,11.29%,0.00%,
,154,020328,华泰保兴尊益,07-01,1.1300,1.1300,0.29%,0.09%,1.32%,3.53%,2.54%,11.26%,---,---,2.54%,13.00%,11.26%,0.00%,
,155,010838,格林泓景债券,07-01,1.0076,2.3176,-0.01%,-0.02%,-0.05%,-0.12%,-0.92%,11.17%,3.11%,-3.64%,-0.92%,130.96%,11.17%,0.00%,
